Object,State,Time,Utilization
TaskExecuter1,Processing,0.000000,0.970548
TaskExecuter1,Busy,0.000000,0.970548
TaskExecuter1,Generating,0.000000,0.970548
TaskExecuter1,Collecting,0.000000,0.970548
TaskExecuter1,Releasing,0.000000,0.970548
TaskExecuter1,Conveying,0.000000,0.970548
TaskExecuter1,Travel empty,229212.438154,0.970548
TaskExecuter1,Travel loaded,227384.825386,0.970548
TaskExecuter1,Offset travel empty,0.000000,0.970548
TaskExecuter1,Offset travel loaded,0.000000,0.970548
TaskExecuter1,Loading,65200.000000,0.970548
TaskExecuter1,Unloading,65190.000000,0.970548
TaskExecuter1,Setup,0.000000,0.970548
TaskExecuter1,Utilize,0.000000,0.970548
TaskExecuter1,Full,0.000000,0.970548
TaskExecuter1,Not empty,0.000000,0.970548
TaskExecuter1,Filling,0.000000,0.970548
TaskExecuter1,Mixing,0.000000,0.970548
TaskExecuter1,Flowing,0.000000,0.970548
TaskExecuter1,Allocated idle,0.000000,0.970548
TaskExecuter1,Change over,0.000000,0.970548
TaskExecuter1,Preprocessing,0.000000,0.970548
TaskExecuter1,Postprocessing,0.000000,0.970548
TaskExecuter1,Inspecting,0.000000,0.970548
TaskExecuter1,Operating,0.000000,0.970548
TaskExecuter1,Purging,0.000000,0.970548
TaskExecuter1,Cleaning,0.000000,0.970548
TaskExecuter1,Accelerating,0.000000,0.970548
TaskExecuter1,Maxspeed,0.000000,0.970548
TaskExecuter1,Decelerating,0.000000,0.970548
TaskExecuter1,Accumulating,0.000000,0.970548
TaskExecuter1,Idle,6323.335099,0.970548
TaskExecuter1,Blocked,11469.401361,0.970548
TaskExecuter1,Empty,0.000000,0.970548
TaskExecuter1,Waiting for operator,20.000000,0.970548
TaskExecuter1,Waiting for transporter,0.000000,0.970548
TaskExecuter1,Breakdown,0.000000,0.970548
TaskExecuter1,Down,0.000000,0.970548
TaskExecuter1,Starved,0.000000,0.970548
TaskExecuter1,Repair,0.000000,0.970548
TaskExecuter1,Maintenance,0.000000,0.970548
TaskExecuter1,Lunch,0.000000,0.970548
TaskExecuter1,On break,0.000000,0.970548
TaskExecuter1,Suspend,0.000000,0.970548
TaskExecuter1,Available,0.000000,0.970548
TaskExecuter1,Standby,0.000000,0.970548
TaskExecuter1,Stopped,0.000000,0.970548
TaskExecuter1,Waiting,0.000000,0.970548
TaskExecuter2,Processing,0.000000,0.969049
TaskExecuter2,Busy,0.000000,0.969049
TaskExecuter2,Generating,0.000000,0.969049
TaskExecuter2,Collecting,0.000000,0.969049
TaskExecuter2,Releasing,0.000000,0.969049
TaskExecuter2,Conveying,0.000000,0.969049
TaskExecuter2,Travel empty,229571.602904,0.969049
TaskExecuter2,Travel loaded,226227.466361,0.969049
TaskExecuter2,Offset travel empty,0.000000,0.969049
TaskExecuter2,Offset travel loaded,0.000000,0.969049
TaskExecuter2,Loading,65141.784405,0.969049
TaskExecuter2,Unloading,65140.000000,0.969049
TaskExecuter2,Setup,0.000000,0.969049
TaskExecuter2,Utilize,0.000000,0.969049
TaskExecuter2,Full,0.000000,0.969049
TaskExecuter2,Not empty,0.000000,0.969049
TaskExecuter2,Filling,0.000000,0.969049
TaskExecuter2,Mixing,0.000000,0.969049
TaskExecuter2,Flowing,0.000000,0.969049
TaskExecuter2,Allocated idle,0.000000,0.969049
TaskExecuter2,Change over,0.000000,0.969049
TaskExecuter2,Preprocessing,0.000000,0.969049
TaskExecuter2,Postprocessing,0.000000,0.969049
TaskExecuter2,Inspecting,0.000000,0.969049
TaskExecuter2,Operating,0.000000,0.969049
TaskExecuter2,Purging,0.000000,0.969049
TaskExecuter2,Cleaning,0.000000,0.969049
TaskExecuter2,Accelerating,0.000000,0.969049
TaskExecuter2,Maxspeed,0.000000,0.969049
TaskExecuter2,Decelerating,0.000000,0.969049
TaskExecuter2,Accumulating,0.000000,0.969049
TaskExecuter2,Idle,7013.862987,0.969049
TaskExecuter2,Blocked,11695.283342,0.969049
TaskExecuter2,Empty,0.000000,0.969049
TaskExecuter2,Waiting for operator,10.000000,0.969049
TaskExecuter2,Waiting for transporter,0.000000,0.969049
TaskExecuter2,Breakdown,0.000000,0.969049
TaskExecuter2,Down,0.000000,0.969049
