Object,State,Time,Utilization
TaskExecuter1,Processing,0.000000,0.751351
TaskExecuter1,Busy,0.000000,0.751351
TaskExecuter1,Generating,0.000000,0.751351
TaskExecuter1,Collecting,0.000000,0.751351
TaskExecuter1,Releasing,0.000000,0.751351
TaskExecuter1,Conveying,0.000000,0.751351
TaskExecuter1,Travel empty,98468.311331,0.751351
TaskExecuter1,Travel loaded,171214.863973,0.751351
TaskExecuter1,Offset travel empty,0.000000,0.751351
TaskExecuter1,Offset travel loaded,0.000000,0.751351
TaskExecuter1,Loading,92370.000000,0.751351
TaskExecuter1,Unloading,92363.712651,0.751351
TaskExecuter1,Setup,0.000000,0.751351
TaskExecuter1,Utilize,0.000000,0.751351
TaskExecuter1,Full,0.000000,0.751351
TaskExecuter1,Not empty,0.000000,0.751351
TaskExecuter1,Filling,0.000000,0.751351
TaskExecuter1,Mixing,0.000000,0.751351
TaskExecuter1,Flowing,0.000000,0.751351
TaskExecuter1,Allocated idle,0.000000,0.751351
TaskExecuter1,Change over,0.000000,0.751351
TaskExecuter1,Preprocessing,0.000000,0.751351
TaskExecuter1,Postprocessing,0.000000,0.751351
TaskExecuter1,Inspecting,0.000000,0.751351
TaskExecuter1,Operating,0.000000,0.751351
TaskExecuter1,Purging,0.000000,0.751351
TaskExecuter1,Cleaning,0.000000,0.751351
TaskExecuter1,Accelerating,0.000000,0.751351
TaskExecuter1,Maxspeed,0.000000,0.751351
TaskExecuter1,Decelerating,0.000000,0.751351
TaskExecuter1,Accumulating,0.000000,0.751351
TaskExecuter1,Idle,34668.673238,0.751351
TaskExecuter1,Blocked,115704.438807,0.751351
TaskExecuter1,Empty,0.000000,0.751351
TaskExecuter1,Waiting for operator,10.000000,0.751351
TaskExecuter1,Waiting for transporter,0.000000,0.751351
TaskExecuter1,Breakdown,0.000000,0.751351
TaskExecuter1,Down,0.000000,0.751351
TaskExecuter1,Starved,0.000000,0.751351
TaskExecuter1,Repair,0.000000,0.751351
